start,end,days,sign,avg_abs_pos,trade_return_pct
2015-12-31,2016-01-04,3,-1,1.0,-0.6836723869195466
2016-01-08,2016-03-07,42,1,1.9523809523809523,7.083590607018911
2016-03-21,2016-04-22,25,1,1.52,-0.23215087406916313
2016-04-29,2016-05-18,14,1,1.6428571428571428,-3.287479740902951
2016-06-03,2016-08-26,61,1,1.3934426229508197,1.2727308403802262
2016-09-07,2016-09-09,3,1,1.0,-2.0882479877276685
2016-09-26,2016-10-04,7,1,1.2857142857142858,-3.3265572508780683
2016-10-07,2016-10-18,8,-1,1.0,-0.4004751233307876
2016-10-28,2016-11-03,5,-1,1.0,-0.9305157570822372
2016-11-09,2017-02-08,66,-1,1.9696969696969697,9.28446421331481
2017-02-14,2017-02-24,9,-1,1.0,-2.833701876396761
2017-03-02,2017-03-21,14,-1,1.4285714285714286,-2.509353173168587
2017-04-06,2017-04-07,2,1,1.0,-0.8359183525802137
2017-04-12,2017-04-25,10,1,1.2,-1.1322665008845252
2017-05-11,2017-05-12,2,-1,1.0,-1.14773611307048
2017-05-18,2017-06-29,31,1,1.6129032258064515,-0.3494713866383402
2017-07-04,2017-07-14,9,-1,1.3333333333333333,-2.1000027339879397
2017-07-19,2017-07-25,5,1,1.0,-0.9904481926363751
2017-08-02,2017-09-15,33,1,1.5757575757575757,0.6924251697871704
2017-09-21,2017-10-13,17,-1,1.2352941176470589,-1.5281546054048736
2017-10-19,2017-11-06,13,-1,1.7692307692307692,-1.0018798194509868
2017-11-13,2018-04-02,101,-1,3.0594059405940595,20.46843424699407
2018-04-04,2018-05-29,40,-1,3.175,-3.55299872416548
2018-05-31,2018-06-01,2,1,1.0,-0.8296507530336192
2018-06-05,2018-06-27,17,-1,1.1764705882352942,-2.207866096481311
2018-07-19,2018-08-10,17,-1,2.176470588235294,-2.2551338319578225
2018-08-16,2018-08-28,9,1,1.0,-0.7806194676574083
2018-08-30,2018-10-29,43,-1,2.488372093023256,3.0021568429648777
2018-11-01,2018-11-15,11,-1,1.9090909090909092,-3.386479189027713
2018-11-20,2019-03-01,74,1,2.108108108108108,5.912636435207293
2019-03-07,2019-09-13,137,1,2.613138686131387,36.75226713816741
2019-09-25,2019-10-22,20,1,1.3,-5.287953922774903
2019-11-13,2019-11-14,2,-1,1.0,-0.9309565653750301
2019-11-21,2019-12-02,8,1,1.0,-1.4934190944979053
2019-12-20,2019-12-27,6,-1,1.0,-0.9310948997857817
2020-01-07,2020-01-09,3,1,1.0,-0.963010020895357
2020-01-22,2020-03-19,42,1,1.4523809523809523,24.29482760480355
2020-04-01,2020-10-07,136,1,2.0294117647058822,-8.80953592416701
2020-10-14,2020-10-21,6,1,1.0,-1.4442867720586416
2020-10-23,2020-10-26,2,-1,1.0,-0.6627294126895646
2020-10-28,2020-10-30,3,1,1.0,-1.4127393401103594
2020-11-04,2020-11-04,1,-1,1.0,-0.03765230462690342
2020-11-06,2020-11-09,2,1,1.0,-1.5678125543708339
2020-11-11,2020-11-12,2,-1,1.0,-1.2235153812526094
2020-11-23,2020-12-01,7,1,1.0,-0.9050330116724514
2020-12-15,2021-01-06,17,1,1.0,-1.3606957496969878
2021-01-08,2021-01-25,12,-1,1.6666666666666667,-2.739044004854591
2021-02-04,2021-05-25,79,-1,1.9873417721518987,16.877102559456226
2021-06-04,2021-06-04,1,-1,1.0,-0.019885190110611187
2021-06-10,2021-06-16,5,1,1.0,-2.9576155827386064
