start,end,days,sign,avg_abs_pos,trade_return_pct
2006-01-26,2006-07-28,132,-1,35.68181818181818,3.75756748026369
2006-07-31,2006-10-11,53,1,28.735849056603772,-3.163548949745559
2006-10-12,2006-10-26,11,-1,7.818181818181818,-0.41498354968043616
2006-10-27,2006-12-27,44,1,23.977272727272727,-3.385982517918885
2006-12-28,2007-02-15,36,-1,19.333333333333332,-2.563257579158604
2007-02-16,2007-04-03,33,1,20.545454545454547,-0.24064971617372577
2007-04-09,2007-04-19,9,-1,16.444444444444443,-1.1706098450251432
2007-04-20,2007-05-15,18,1,7.5,-0.5007732351515959
2007-05-16,2007-07-23,49,-1,41.734693877551024,6.729546097395627
2007-07-25,2008-04-25,198,1,32.86363636363637,27.092227989611096
2008-04-28,2008-04-30,3,-1,3.0,-0.11979671286447814
2008-05-01,2008-05-05,3,1,1.3333333333333333,-0.04221457221622593
2008-05-07,2008-05-08,2,-1,2.0,-0.14115828955485293
2008-05-09,2008-05-14,4,1,7.0,-1.4912010975956167
2008-05-15,2008-05-16,2,-1,1.0,0.3334403130120145
2008-05-20,2008-05-28,7,1,4.428571428571429,-0.7496788003213543
2008-05-29,2008-06-03,4,-1,8.25,-2.113069187771929
2008-06-04,2008-06-10,5,1,5.0,-0.5636413839447689
2008-06-11,2008-06-25,11,-1,9.181818181818182,-1.2683813135388835
2008-06-27,2008-07-23,19,1,16.63157894736842,-1.9490864423782506
2008-07-24,2008-07-24,1,-1,3.0,0.2181732111405335
2008-07-25,2008-09-25,45,1,24.466666666666665,3.4952565000603455
2008-09-30,2008-10-09,8,1,5.375,-2.88647646224378
2008-10-10,2008-10-22,9,-1,6.111111111111111,-2.6383229835595916
2008-10-23,2008-10-30,6,1,4.5,-1.170704797510722
2008-11-03,2008-11-04,2,-1,3.0,-0.4055370251267396
2008-11-05,2009-05-01,128,1,17.7734375,17.573509645448116
2009-05-08,2009-05-11,2,-1,1.5,-0.09645419357878868
2009-05-13,2009-05-21,7,1,4.857142857142857,-0.886091284914073
