index,meta_best,baseline_g1
2022-06-10,1050.080463066715,987.6749444486572
2022-06-13,1092.1580155704671,1022.1816269868413
2022-06-14,1113.2982294496264,1039.4876446776166
2022-06-15,1078.902159274548,1011.8839359239068
2022-06-16,1067.0280969362643,1000.8676396408248
2022-06-17,1072.9678159821265,1006.5661481517202
2022-06-20,1072.9678159821265,1006.5661481517202
2022-06-21,1072.9678159821265,1006.5661481517202
2022-06-22,1055.0306455901584,989.3214323750221
2022-06-23,1043.5288095915291,978.4134636890901
2022-06-24,1048.6181537552154,983.3737285029226
2022-06-27,1058.3770945163683,992.5221206772102
2022-06-28,1054.7852652071588,989.2666395530531
2022-06-29,1042.0799499388645,977.4648231795114
2022-06-30,1027.8038714554634,963.9653486496716
2022-07-01,1007.9125750311177,945.1019947472327
2022-07-04,1007.9125750311177,945.1019947472327
2022-07-05,1007.9125750311177,945.1019947472327
2022-07-06,1028.1105799036454,964.1391486905768
2022-07-07,1037.4406033653238,972.7480740915726
2022-07-08,1049.599297045955,983.8907584638448
2022-07-11,1037.7965077625101,973.0990774079099
2022-07-12,1031.183326128616,967.7918438693932
2022-07-13,1027.8563890917212,965.053721761641
2022-07-14,1035.797914174163,971.0411690408885
2022-07-15,1027.9678947042507,965.1478080044162
2022-07-18,1042.7473221648404,976.512160158445
2022-07-19,1050.8643738498583,982.7225971824274
2022-07-20,1053.6687562733157,984.8815342514292
2022-07-21,1017.9926322583489,956.4033909340576
2022-07-22,995.0721212017692,936.8119523658239
2022-07-25,1001.7067578033946,942.7015246433563
2022-07-26,1003.8161661860906,944.5426546742478
2022-07-27,996.2233769848735,937.8420429317727
2022-07-28,974.467692808834,918.1850760030026
2022-07-29,971.2261363297583,915.125889386692
2022-08-01,960.8827370230367,905.665157915905
2022-08-02,991.3157292841051,933.780742019543
2022-08-03,987.6124527520624,929.1020636134105
2022-08-04,984.6827878521706,925.4067918895414
2022-08-05,1001.0943366678097,945.7263803111459
2022-08-08,994.7556848239022,938.2051778881851
2022-08-09,999.5783641700463,943.6154545107746
2022-08-10,996.7768012224109,940.6485340272649
2022-08-11,1008.6289374542878,953.3870475183111
2022-08-12,1002.5128476631553,947.1707718802567
