,baseline_daily_pct,dmom_daily_pct,w_dmom
2003-01-02,-2.85,0.004358438633336951,-0.0015292767134515617
2003-01-03,-0.25556522283161387,-0.002471763121701474,0.009671750695633821
2003-01-06,0.0,0.0,0.009648737109638617
2003-01-07,0.0,0.0,0.009793713901472309
2003-01-08,0.0,0.0,0.010022904518484265
2003-01-09,0.0,0.0,0.010020360328540274
2003-01-10,0.0,0.0,0.010934659399408532
2003-01-13,0.0,0.0,0.011586200361283914
2003-01-14,0.0,0.0,0.011839383077695066
2003-01-15,0.0,0.0,0.012183771353541428
2003-01-16,0.0,0.0,0.01578707530680757
2003-01-17,0.0,0.0,0.014846494301002851
2003-01-20,0.0,0.0,0.015242274965012464
2003-01-21,0.0,-0.0,-0.0032625833261329673
2003-01-22,-0.005402414386668057,-8.554736268855492e-05,0.0158350242254031
2003-01-23,-0.55,-0.008806872364205062,0.016012495207645566
2003-01-24,2.275,0.03637185422054066,0.01598762822880908
2003-01-27,1.3,-0.004311520383318104,-0.003316554141013926
2003-01-28,-0.725,-0.013368519268059533,0.018439336921461425
2003-01-29,-0.625,-0.011464568514622764,0.018343309623396423
2003-01-30,2.075,0.036719286872011876,0.01769604186602982
2003-01-31,-1.475,-0.029107118362264706,0.019733639567637087
2003-02-03,-0.375,-0.007154085781814323,0.019077562084838195
2003-02-04,0.925,0.017447204970967464,0.018861843211856716
2003-02-05,0.475,0.009323194204971455,0.019627777273624115
2003-02-06,0.4,0.008286519810636255,0.020716299526590636
2003-02-07,1.0,0.020526930668316175,0.020526930668316175
2003-02-10,-0.55,-0.011591144214050808,0.02107480766191056
2003-02-11,0.625,0.013013191904919938,0.0208211070478719
2003-02-12,1.2945865345154526,0.026977505400717538,0.020838703849808602
2003-02-13,-0.45,-0.009785432629902816,0.021745405844228478
2003-02-14,-3.6012887404363614,-0.07293075822210054,0.02025129432228299
2003-02-17,-0.005411427257744143,-0.00010387168731393143,0.019194878239430006
2003-02-18,-1.45,0.0049740973973294135,-0.0034304119981582166
2003-02-19,0.475,0.00910862544291126,0.019176053564023708
2003-02-20,0.8,0.015446777750546904,0.01930847218818363
2003-02-21,-0.85,-0.016570721123225794,0.019494966027324465
2003-02-24,1.475,0.028066588701675773,0.019028195729949675
2003-02-25,-0.725,-0.014521270227869636,0.020029338245337428
2003-02-26,1.2,0.024840614639248047,0.020700512199373373
2003-02-27,-1.05,-0.02242723938810677,0.021359275607720732
2003-02-28,-0.275,-0.005757636573176198,0.020936860266095265
2003-03-03,0.55,0.011466801135414546,0.020848729337117355
2003-03-04,1.325,0.027745920846014963,0.020940317619633934
